Nazwa miejscowości ;Rodzaj;Województwo
Antoniew;część miasta Kutno;łódzkie
Antoniew;wieś;łódzkie
Antoniew;wieś;łódzkie
Antoniew;wieś;łódzkie
Antoniew;wieś;łódzkie
Antoniew;wieś;mazowieckie
Antoniew;wieś;mazowieckie
Antoniew;wieś;mazowieckie
Antoniewo;wieś;kujawsko-pomorskie
Antoniewo;wieś;kujawsko-pomorskie
Antoniewo;wieś;mazowieckie
Antoniewo;wieś;mazowieckie
Antoniewo;wieś;mazowieckie
Antoniewo;wieś;pomorskie
Antoniewo;wieś;wielkopolskie
Antoniki;wieś;podkarpackie
Antonin;część miasta Chełm;lubelskie
Antonin;wieś;łódzkie
Antonin;wieś;łódzkie
Antonin;wieś;podlaskie
Antonin;wieś;pomorskie
Antonin;wieś;wielkopolskie
Antonin;wieś;wielkopolskie
Antonin;wieś;wielkopolskie
Antonin;wieś;wielkopolskie
Antonin;część miasta Poznań;wielkopolskie
Antonina;wieś;łódzkie
Antonina;wieś;łódzkie
Antonina;wieś;łódzkie
Antonina;wieś;mazowieckie
Antonina;wieś;mazowieckie
Antoninek;wieś;mazowieckie
Antoninek;część miasta Poznań;wielkopolskie
Antoninów;wieś;łódzkie
Antoninów;wieś;łódzkie
Antoninów;wieś;mazowieckie
Antoninów;wieś;mazowieckie
Antoninów;wieś;mazowieckie
Antoniny;wieś;wielkopolskie
Antoniny;część miasta Leszno;wielkopolskie
Antoniowiec;część miasta Chorzów;śląskie
Antoniów;wieś;dolnośląskie
Antoniów;wieś;lubelskie
Antoniów;wieś;łódzkie
Antoniów;wieś;łódzkie
Antoniów;wieś;łódzkie
Antoniów;wieś;mazowieckie
Antoniów;wieś;mazowieckie
Antoniów;wieś;mazowieckie
Antoniów;wieś;mazowieckie
Antoniów;wieś;opolskie
Antoniów;wieś;podkarpackie
Antoniów;wieś;śląskie
Antoniów;wieś;świętokrzyskie
Antoniówka;wieś;lubelskie
Antoniówka;wieś;lubelskie
Antoniówka;wieś;lubelskie
Antoniówka;wieś;lubelskie
Antoniówka;wieś;lubelskie
Antoniówka;wieś;lubelskie
Antoniówka;wieś;łódzkie
Antoniówka;wieś;łódzkie
Antoniówka;wieś;mazowieckie
Antoniówka;wieś;mazowieckie
Antoniówka Świerżowska;wieś;mazowieckie
Antoniówka Wilczkowska;wieś;mazowieckie
Antoniuk;część miasta Białystok;podlaskie
Antoniuk Fabryczny;część miasta Białystok;podlaskie
Antonowo;wieś;warmińsko-mazurskie
Antonów;wieś;śląskie
Antonówka;część miasta Hrubieszów;lubelskie
Antonówka;wieś;lubelskie
Antonówki;część miasta Tuszyn;łódzkie
Antopol;wieś;lubelskie
Antosin;wieś;mazowieckie
Antosin;wieś;podlaskie
Anusin;wieś;kujawsko-pomorskie
Anusin;wieś;lubelskie
Anusin;wieś;łódzkie
Anusin;wieś;mazowieckie
Anusin;wieś;podlaskie
Apolinów;wieś;łódzkie
Apolonia;wieś;łódzkie
Apolonka;wieś;łódzkie
Apolonka;wieś;śląskie
Arbasy;wieś;podlaskie
Arcelin;wieś;mazowieckie
Archutowo;wieś;mazowieckie
Archutówko;wieś;mazowieckie
Arciechów;wieś;mazowieckie
Arciechów;wieś;mazowieckie
Arciechówek;wieś;mazowieckie
Arciszewo;wieś;kujawsko-pomorskie
Arcugowo;wieś;wielkopolskie
Ardapy;wieś;warmińsko-mazurskie
Arentowo;wieś;wielkopolskie
Argentyna;część miasta Zawiercie;śląskie
Ariany;wieś;kujawsko-pomorskie
Arkadia;wieś;łódzkie
Arkuszewo;część miasta Gniezno;wielkopolskie
Arkuszewo;wieś;wielkopolskie
Arntowo;część miasta Wieleń;wielkopolskie
Arturówek;część miasta Łódź;łódzkie
Artych;część miasta Łosice;mazowieckie
Arynów;wieś;mazowieckie
Asmus;wieś;pomorskie
Astachowice;wieś;łódzkie
Asuny;wieś;warmińsko-mazurskie
Atalin;wieś;mazowieckie
Atanazyn;wieś;wielkopolskie
Ateny;wieś;podlaskie
Audyniszki;wieś;warmińsko-mazurskie
Augamy;wieś;warmińsko-mazurskie
Augustopol;wieś;łódzkie
Augustowo;wieś;kujawsko-pomorskie
Augustowo;wieś;kujawsko-pomorskie
Augustowo;wieś;mazowieckie
Augustowo;wieś;mazowieckie
Augustowo;wieś;podlaskie
Augustowo;wieś;wielkopolskie
Augustowo;wieś;wielkopolskie
Augustowo;wieś;wielkopolskie
Augustowo;wieś;wielkopolskie
Augustów;część miasta Łódź;łódzkie
Augustów;wieś;łódzkie
Augustów;wieś;łódzkie
Augustów;wieś;mazowieckie
Augustów;wieś;mazowieckie
Augustów;część miasta Radom;mazowieckie
Augustów;wieś;mazowieckie
Augustów;wieś;mazowieckie
Augustów;część miasta Warszawa;mazowieckie
Augustów;część miasta Sieniawa;podkarpackie
Augustów;miasto;podlaskie
Augustówek;wieś;mazowieckie
Augustówek;część miasta Warszawa;mazowieckie
Augustówka;wieś;lubelskie
Augustówka;wieś;mazowieckie
Augustówka;część miasta Warszawa;mazowieckie
Augustynka;wieś;podlaskie
Augustynowo;wieś;kujawsko-pomorskie
Augustynów;wieś;łódzkie
Augustynów;wieś;łódzkie
Augustynów;wieś;łódzkie
Augustynów;wieś;wielkopolskie
Augustynów;wieś;wielkopolskie
Augustyny;wieś;warmińsko-mazurskie
Auguścin;wieś;wielkopolskie
Aulakowszczyzna;wieś;podlaskie
Aurelin;wieś;lubelskie
Awajki;wieś;warmińsko-mazurskie
Azory;część miasta Kutno;łódzkie
Azory;część miasta Kraków;małopolskie
Baba;wieś;kujawsko-pomorskie
Baba;wieś;mazowieckie
Babalice;wieś;warmińsko-mazurskie
Babańce;wieś;podlaskie
Babczów;wieś;łódzkie
Babczyzna;wieś;lubelskie
Babi Dół;wieś;pomorskie
Babia;wieś;wielkopolskie
Babia Ława;część miasta Dąbrowa Górnicza;śląskie
Babiak;wieś;warmińsko-mazurskie
Babiak;wieś;wielkopolskie
Babianka;wieś;lubelskie
Babiarzówka;część miasta Nowy Targ;małopolskie
Babiarzówka;część miasta Jordanów;małopolskie
Babica;wieś;małopolskie
Babica;wieś;podkarpackie
Babice;wieś;lubelskie
Babice;wieś;łódzkie
Babice;wieś;małopolskie
Babice;wieś;małopolskie
Babice;część miasta Oświęcim;małopolskie
Babice;wieś;mazowieckie
Babice;wieś;opolskie
Babice;wieś;podkarpackie
Babice;wieś;śląskie
Babice Nowe;wieś;mazowieckie
Babicha;wieś;podkarpackie
Babichy;wieś;łódzkie
Babiczki;wieś;łódzkie
Babidół;wieś;pomorskie
Babie Doły;część miasta Gdynia;pomorskie
Babiec Piaseczny;wieś;mazowieckie
Babiec Rżały;wieś;mazowieckie
Babiec-Więczanki;wieś;mazowieckie
Babienica;wieś;śląskie
Babieniec;wieś;warmińsko-mazurskie
Babięta;wieś;warmińsko-mazurskie
Babięty Wielkie;wieś;warmińsko-mazurskie
Babigoszcz;wieś;zachodniopomorskie
Babiki;wieś;podlaskie
Babilon;wieś;mazowieckie
Babimost;miasto;lubuskie
Babin;wieś;dolnośląskie
Babin;wieś;lubelskie
Babin;wieś;mazowieckie
Babin;wieś;wielkopolskie
Babin;wieś;zachodniopomorskie
Babin;część miasta Szczecin;zachodniopomorskie
Babina;wieś;łódzkie
Babinek;wieś;zachodniopomorskie
Babinek;wieś;zachodniopomorskie
Babino;wieś;podlaskie
Babin-Olędry;wieś;wielkopolskie
Babki;wieś;wielkopolskie
Babki Gąseckie;wieś;warmińsko-mazurskie
Babki Oleckie;wieś;warmińsko-mazurskie
Babkowice;wieś;wielkopolskie
Baborowo;wieś;wielkopolskie
Baborów;miasto;opolskie
Baborówko;wieś;wielkopolskie
Baboszewo;wieś;mazowieckie
Babrosty;wieś;warmińsko-mazurskie
Babsk;wieś;lubelskie
Babsk;wieś;łódzkie
Babskie Budy;wieś;mazowieckie
Babule;wieś;podkarpackie
Baby;wieś;łódzkie
Baby;wieś;łódzkie
Baby;wieś;mazowieckie
Baby;wieś;śląskie
Baby Dolne;wieś;mazowieckie
Baby Górne;wieś;mazowieckie
Bachanowo;wieś;podlaskie
Bachlawa;wieś;podkarpackie
Bachledówka;część miasta Zakopane;małopolskie
Bachledzki Wierch;część miasta Zakopane;małopolskie
Bachmatówka;wieś;podlaskie
Bachorce;wieś;kujawsko-pomorskie
Bachorza;wieś;kujawsko-pomorskie
Bachorza;wieś;mazowieckie
Bachorza;wieś;mazowieckie
Bachorzew;wieś;wielkopolskie
Bachorzewo;wieś;kujawsko-pomorskie
Bachorzyn;wieś;łódzkie
Bachotek;wieś;kujawsko-pomorskie
Bachowice;wieś;małopolskie
Bachórz;wieś;podkarpackie
Bachórzec;wieś;podkarpackie
Bachów;wieś;podkarpackie
Bachury;wieś;podlaskie
Bacieczki;część miasta Białystok;podlaskie
Bacieczki-Kolonia;część miasta Białystok;podlaskie
Baciki Bliższe;wieś;podlaskie
Baciki Dalsze;wieś;podlaskie
Baciki Średnie;wieś;podlaskie
Baciuty;wieś;podlaskie
Bacze;wieś;mazowieckie
Bacze Mokre;wieś;podlaskie
Bacze Suche;wieś;podlaskie
Baczki;wieś;mazowieckie
Baczki;wieś;mazowieckie
Baczki Fabryczne;część miasta Łochów;mazowieckie
Baczków;wieś;lubelskie
Baczków;wieś;małopolskie
Baczyn;wieś;małopolskie
Baczyna;wieś;lubuskie
Baczyna;wieś;świętokrzyskie
Baczysław;wieś;zachodniopomorskie
Baćkowice;wieś;świętokrzyskie
Badowo-Dańki;wieś;mazowieckie
Badowo-Mściska;wieś;mazowieckie
Badów Górny;wieś;mazowieckie
Badrzychowice;wieś;świętokrzyskie
Badulki;wieś;mazowieckie
Bagatele;wieś;mazowieckie
Bagatelka;wieś;łódzkie
Bagicz;wieś;zachodniopomorskie
Bagienica;wieś;kujawsko-pomorskie
Bagienica;część miasta Dąbrowa Tarnowska;małopolskie
Bagienice;wieś;mazowieckie
Bagienice;wieś;podlaskie
Bagienice;wieś;podlaskie
Bagienice;wieś;warmińsko-mazurskie
Bagienice Duże;wieś;mazowieckie
Bagienice Małe;wieś;mazowieckie
Bagienice Małe;wieś;warmińsko-mazurskie
Bagienice Nowe;wieś;mazowieckie
Bagienice Szlacheckie;wieś;mazowieckie
Bagienice-Folwark;wieś;mazowieckie
Bagieniec;wieś;dolnośląskie
Bagienki;część miasta Skawina;małopolskie
Bagienki;wieś;podlaskie
Bagienko;część miasta Jaworzno;śląskie
Bagieńsko;wieś;warmińsko-mazurskie
Bagińskie;wieś;podlaskie
Bagna;wieś;pomorskie
Bagna;wieś;śląskie
Bagna;wieś;zachodniopomorskie
Bagniewko;wieś;kujawsko-pomorskie
Bagniewo;wieś;kujawsko-pomorskie
Bagniewo;wieś;lubuskie
Bagniuki;wieś;podlaskie
Bagno;wieś;dolnośląskie
Bagno;wieś;kujawsko-pomorskie
Bagno;wieś;lubelskie
Bagno;wieś;lubuskie
Bagno;wieś;łódzkie
Bagno;część miasta Brzesko;małopolskie
Bagno;część miasta Bukowno;małopolskie
Bagno;część miasta Brzeszcze;małopolskie
Bagno;część miasta Węgrów;mazowieckie
Bagno;część miasta Gogolin;opolskie
Bagno;wieś;podlaskie
Bagno;część miasta Bielsko-Biała;śląskie
Bagno;wieś;warmińsko-mazurskie
Bagno na Górkach;część miasta Brzesko;małopolskie
Bagnówka;część miasta Białystok;podlaskie
Bagny;wieś;podlaskie
Bajdy;wieś;podkarpackie
Bajdy;wieś;warmińsko-mazurskie
Bajerki;część miasta Skoczów;śląskie
Bajerówka;część miasta Żory;śląskie
Bajerze;wieś;kujawsko-pomorskie
Bajki-Zalesie;wieś;podlaskie
Bajorki;część miasta Pilzno;podkarpackie
Bajory Małe;wieś;warmińsko-mazurskie
Bajory Wielkie;wieś;warmińsko-mazurskie
Bajtkowo;wieś;warmińsko-mazurskie
Bajwaki;część miasta Szczuczyn;podlaskie
Bakałarzewo;wieś;podlaskie
Bakaniuk;wieś;podlaskie
Bakończyce;część miasta Przemyśl;podkarpackie
Bakuła;wieś;mazowieckie
Bakus-Wanda;wieś;lubelskie
Balbinów;wieś;świętokrzyskie
Balcarki;część miasta Oświęcim;małopolskie
Balcarzowice;wieś;opolskie
Balcerów;wieś;łódzkie
Balczewo;wieś;kujawsko-pomorskie
Baldram;wieś;pomorskie
Baldwinowice;wieś;dolnośląskie
Baldwinowice;wieś;opolskie
Bale;wieś;mazowieckie
Balewo;wieś;warmińsko-mazurskie
Balice;wieś;kujawsko-pomorskie
Balice;wieś;małopolskie
Balice;wieś;świętokrzyskie
Baligród;wieś;podkarpackie
Baliki;wieś;podlaskie
Balików;wieś;łódzkie
Balin;wieś;kujawsko-pomorskie
Balin;wieś;kujawsko-pomorskie
Balin;wieś;łódzkie
Balin;wieś;małopolskie
Balinka;wieś;podlaskie
Balków;wieś;łódzkie
Balowa;część miasta Rabka-Zdrój;małopolskie
Balowskie;część miasta Sanok;podkarpackie
Bałaje;wieś;podkarpackie
Bałamątek;wieś;pomorskie
Bałamutowo;wieś;warmińsko-mazurskie
Bałażówka;wieś;małopolskie
Bałąg;wieś;warmińsko-mazurskie
Bałdoń;wieś;wielkopolskie
Bałdowice;wieś;wielkopolskie
Bałdowo;wieś;kujawsko-pomorskie
Bałdowo;wieś;pomorskie
Bałdrzychów;wieś;łódzkie
Bałdzki Piec;wieś;warmińsko-mazurskie
Bałki;wieś;mazowieckie
Bałków;wieś;świętokrzyskie
Bałtów;wieś;lubelskie
Bałtów;wieś;świętokrzyskie
Bałucianka;wieś;podkarpackie
Bałucz;wieś;łódzkie
Bałupiany;wieś;warmińsko-mazurskie
Bałuty;część miasta Chodecz;kujawsko-pomorskie
Bałuty;część miasta Łódź;łódzkie
Banachy;wieś;podkarpackie
Banaczki;część miasta Zdzieszowice;opolskie
Banaszka;część miasta Białobrzegi;mazowieckie
Bandrów Narodowy;wieś;podkarpackie
Bandysie;wieś;mazowieckie
Bania;wieś;świętokrzyskie
Banica;wieś;małopolskie
Banie;część miasta Piwniczna-Zdrój;małopolskie
Banie;wieś;zachodniopomorskie
Banie Mazurskie;wieś;warmińsko-mazurskie
Baniewice;wieś;zachodniopomorskie
Baniewo;wieś;zachodniopomorskie
Banino;wieś;pomorskie
Baniocha;wieś;mazowieckie
Bankówka;część miasta Zielonka;mazowieckie
Bańdury;część miasta Sucha Beskidzka;małopolskie
Bańgów;część miasta Siemianowice Śląskie;śląskie
Bańki;wieś;podlaskie
Bańkowszczyzna;wieś;lubelskie
Bańska Niżna;wieś;małopolskie
Bańska Wyżna;wieś;małopolskie
Barak;wieś;lubelskie
Barak;wieś;mazowieckie
Baraki;wieś;lubelskie
Baraki;wieś;lubelskie
Baraki;wieś;lubelskie
Baraki;wieś;mazowieckie
Baraki Chotumskie;wieś;mazowieckie
Baran;wieś;lubelskie
Baran;wieś;świętokrzyskie
Barania Górka;część miasta Ciężkowice;małopolskie
Baranica;wieś;lubelskie
Baraniec;wieś;mazowieckie
Baraniec;wieś;mazowieckie
Baraniec;część miasta Bieruń;śląskie
